"domain","records","canonicalRecordId","duplicateRecordIds"
"actuatortech.com","1","grimm-source-108",""
"africanwater.org","1","grimm-source-215",""
"agpumping.org","1","grimm-source-236",""
"aiche.org","1","grimm-source-255",""
"airportsafety.org","1","grimm-source-281",""
"apfire.com","2","grimm-source-009","grimm-source-022"
"architecturalrecord.com","1","grimm-source-134",""
"architecturalsafety.org","1","grimm-source-176",""
"asce.org","1","grimm-source-149",""
"ashrae.org","1","grimm-source-128",""
"asianwater.com.my","1","grimm-source-214",""
"aspe.org","1","grimm-source-129",""
"assetmanagement.org","1","grimm-source-118",""
"atexfiresafety.org","1","grimm-source-279",""
"aviationpros.com","1","grimm-source-261",""
"awwa.org","1","grimm-source-185",""
"bafsa.org.uk","1","grimm-source-018",""
"bdcnetwork.com","1","grimm-source-122",""
"blog.anvil-fire.com","1","grimm-source-005",""
"blog.craneengineering.net","1","grimm-source-065",""
"bscai.org","1","grimm-source-164",""
"buildingcodefire.com","1","grimm-source-050",""
"buildingcodesmonthly.com","1","grimm-source-170",""
"buildinggreen.com","1","grimm-source-132",""
"buildinghydraulics.org","1","grimm-source-157",""
"buildingservicesng.com","1","grimm-source-137",""
"buildingsystemsdesign.org","1","grimm-source-148",""
"cabe.org.uk","1","grimm-source-160",""
"casa-firesprinkler.org","1","grimm-source-019",""
"ccr-mag.com","1","grimm-source-143",""
"centrifugalpumps.org","1","grimm-source-094",""
"chemengonline.com","1","grimm-source-074",""
"chemicalhazards.org","1","grimm-source-268",""
"cibsejournal.com","1","grimm-source-138",""
"cleanwatertech.org","1","grimm-source-198",""
"coderedsafety.com","1","grimm-source-055",""
"commercialfiresafety.com","1","grimm-source-047",""
"commercialplumbingtoday.com","1","grimm-source-173",""
"compressormachinery.com","1","grimm-source-083",""
"constructiondive.com","1","grimm-source-127",""
"constructionexec.com","1","grimm-source-158",""
"constructionspecifier.com","1","grimm-source-159",""
"controlglobal.com","1","grimm-source-114",""
"csemag.com","1","grimm-source-121",""
"ctbuh.org","1","grimm-source-145",""
"desalination.biz","1","grimm-source-191",""
"dieseldrives.org","1","grimm-source-111",""
"dieselgasturbine.com","1","grimm-source-082",""
"dieselpowertech.org","1","grimm-source-274",""
"disasterprevention.org","1","grimm-source-060",""
"efficientplantmag.com","1","grimm-source-091",""
"ehstoday.com","1","grimm-source-243",""
"emergencyinfrastructure.org","1","grimm-source-178",""
"emergencyservicestimes.com","1","grimm-source-042",""
"emergencywater.org","1","grimm-source-208",""
"empoweringpumps.com","1","grimm-source-079",""
"energyinst.org","1","grimm-source-254",""
"energyplant.org","1","grimm-source-276",""
"energyresilience.org","1","grimm-source-298",""
"enginecontrols.org","1","grimm-source-112",""
"enr.com","1","grimm-source-123",""
"eponline.com","1","grimm-source-211",""
"esmagazine.com","1","grimm-source-161",""
"estormwater.com","1","grimm-source-229",""
"europeanfiresafetyalliance.org","1","grimm-source-014",""
"europump.net","1","grimm-source-085",""
"facilitiesnet.com","3","grimm-source-133","grimm-source-155|grimm-source-250"
"facilityexecutive.com","1","grimm-source-265",""
"facilityops.org","1","grimm-source-172",""
"facilityprotection.org","1","grimm-source-287",""
"fcia.org","1","grimm-source-034",""
"fedigest.com","1","grimm-source-025",""
"fia.uk.com","1","grimm-source-015",""
"fireapparatusmagazine.com","1","grimm-source-008",""
"firebuyer.com","1","grimm-source-004",""
"firechiefs.org","1","grimm-source-030",""
"fireengineering.com","1","grimm-source-006",""
"fireinspectionmonthly.com","1","grimm-source-052",""
"firemarshals.org","1","grimm-source-027",""
"firemiddleeastmag.com","1","grimm-source-021",""
"fireproductsearch.com","1","grimm-source-026",""
"fireprotectionsystems.org","1","grimm-source-054",""
"firerescue1.com","1","grimm-source-045",""
"firesafetyforum.com","1","grimm-source-046",""
"firesafetyinspection.org","1","grimm-source-057",""
"firesafetysearch.com","1","grimm-source-003",""
"firesafetytoday.com","1","grimm-source-041",""
"firesprinkler.org","1","grimm-source-017",""
"firetradesupplies.com","1","grimm-source-031",""
"firewaterjournal.org","1","grimm-source-049",""
"firewaterpiping.org","1","grimm-source-151",""
"firewatersupply.org","1","grimm-source-224",""
"floodprotection.org","1","grimm-source-230",""
"flowcontrolnetwork.com","1","grimm-source-076",""
"flowmeasurement.org","1","grimm-source-109",""
"fluidcontrol.org","1","grimm-source-204",""
"fluiddynamics.org","1","grimm-source-101",""
"fluidengineering.org","1","grimm-source-095",""
"fluidhandlingmag.com","2","grimm-source-062","grimm-source-080"
"fluidmechanics.org","1","grimm-source-106",""
"fluidmotion.org","1","grimm-source-104",""
"fluidpowerjournal.com","1","grimm-source-068",""
"fmglobal.com","1","grimm-source-032",""
"foodwater.org","1","grimm-source-233",""
"fpaa.com.au","1","grimm-source-040",""
"fpcmag.com","1","grimm-source-007",""
"fseonline.co.uk","1","grimm-source-058",""
"fsrmagazine.com","1","grimm-source-023",""
"fuelpiping.org","1","grimm-source-288",""
"globalfirenews.com","1","grimm-source-059",""
"globalwaterintel.com","1","grimm-source-192",""
"gulffire.mdmintelligence.com","1","grimm-source-024",""
"hazardcontrolnews.com","1","grimm-source-048",""
"hazardousareas.org","1","grimm-source-267",""
"heavydiesels.org","1","grimm-source-289",""
"heavyequipmenttech.org","1","grimm-source-286",""
"heavyindustry.org","1","grimm-source-275",""
"heavymechanicals.com","1","grimm-source-103",""
"heavywater.org","1","grimm-source-237",""
"highhazard.org","1","grimm-source-292",""
"highpressuresystems.com","1","grimm-source-105",""
"highrisedesign.org","1","grimm-source-144",""
"highrisefiresafety.com","1","grimm-source-036",""
"highrisesafety.org","1","grimm-source-179",""
"highriskops.org","1","grimm-source-299",""
"hpac.com","1","grimm-source-125",""
"hpbmagazine.org","1","grimm-source-169",""
"hydraulicspneumatics.com","1","grimm-source-069",""
"hydrocarbonprocessing.com","2","grimm-source-072","grimm-source-246"
"hydrotech.org","1","grimm-source-222",""
"iafc.org","1","grimm-source-028",""
"iafss.org","1","grimm-source-038",""
"iaphworldports.org","1","grimm-source-262",""
"iccsafe.org","2","grimm-source-130","grimm-source-135"
"ife.org.uk","1","grimm-source-039",""
"iffmag.mdmintelligence.com","1","grimm-source-043",""
"industrialemergency.org","1","grimm-source-277",""
"industrialengines.org","1","grimm-source-102",""
"industrialfireengineering.org","1","grimm-source-266",""
"industrialfireworld.com","1","grimm-source-010",""
"industrialmachinerydigest.com","1","grimm-source-117",""
"industrialpiping.org","1","grimm-source-087",""
"industrialresilience.org","1","grimm-source-294",""
"industrialsafety.org","1","grimm-source-252",""
"industrialsafetyreview.org","1","grimm-source-300",""
"industrialutilities.org","1","grimm-source-228",""
"industrialwastewater.org","1","grimm-source-200",""
"industrialwater.org","1","grimm-source-217",""
"industrialwaterworld.com","1","grimm-source-190",""
"infrastructuredesign.org","1","grimm-source-152",""
"infrastructuretech.org","1","grimm-source-175",""
"irrigationtoday.org","1","grimm-source-196",""
"ishn.com","1","grimm-source-251",""
"iwa-network.org","1","grimm-source-186",""
"iwapublishing.com","1","grimm-source-216",""
"logisticsmgmt.com","1","grimm-source-263",""
"machinedesign.com","1","grimm-source-088",""
"maintenancetechnology.com","1","grimm-source-090",""
"marinefiresystems.org","1","grimm-source-272",""
"marinelink.com","1","grimm-source-258",""
"mcaa.org","1","grimm-source-156",""
"me.smenet.org","1","grimm-source-249",""
"mechanical-hub.com","1","grimm-source-142",""
"mechanicaldesign.org","1","grimm-source-174",""
"mepengtimes.com","1","grimm-source-165",""
"mepfire.org","1","grimm-source-168",""
"mepmiddleeast.com","1","grimm-source-136",""
"mepprojects.org","1","grimm-source-177",""
"mepsystems.org","1","grimm-source-153",""
"minefiresafety.org","1","grimm-source-270",""
"mining-technology.com","1","grimm-source-260",""
"mininginfrastructure.org","1","grimm-source-297",""
"miningmagazine.com","1","grimm-source-248",""
"miningwater.org","1","grimm-source-231",""
"mmh.com","1","grimm-source-264",""
"modernbuilding.org","1","grimm-source-166",""
"motionsystemdesign.com","1","grimm-source-115",""
"motorcontroltech.com","1","grimm-source-096",""
"mrose.com","1","grimm-source-092",""
"municipalinfrastructure.com","1","grimm-source-202",""
"municipalpumps.org","1","grimm-source-238",""
"municipalwaterleader.com","1","grimm-source-194",""
"nfpa.org","3","grimm-source-001","grimm-source-013|grimm-source-029"
"nfsa.org","1","grimm-source-016",""
"nist.gov","1","grimm-source-131",""
"ny-engineers.com","1","grimm-source-126",""
"offgridpower.org","1","grimm-source-271",""
