"id","slug","category","productName","model","dataConfidence","missingFields"
"2-electric-plus-jockey-pump-set","2-electric-plus-jockey-pump-set","Fire Series","2 Electric + jockey pump set","Pump","verified",""
"diesel-engine-long-shaft-fire-pump","diesel-engine-long-shaft-fire-pump","Fire Series","Diesel Engine Long Shaft Fire Pump","","partial","modelOrSeries"
"diesel-engine-fire-pump","diesel-engine-fire-pump","Fire Series","Diesel engine fire pump","","partial","modelOrSeries"
"diesel-engine-irrigation-pump-trailer-type","diesel-engine-irrigation-pump-trailer-type","Irrigation Series","Diesel engine irrigation pump trailer type","","partial","modelOrSeries"
"diesel-engine-plus-jockey-pump-set","diesel-engine-plus-jockey-pump-set","Fire Series","Diesel engine + jockey pump set","Pump","verified",""
"edj-fire-pump-set","edj-fire-pump-set","Fire Series","EDJ Fire pump set","Pump","verified",""
"electric-long-shaft-fire-pump","electric-long-shaft-fire-pump","Fire Series","Electric Long-Shaft Fire Pump","","partial","modelOrSeries"
"electric-horizontal-split-end-suction-pump","electric-horizontal-split-end-suction-pump","Fire Series","Electric horizontal split end suction pump","","partial","modelOrSeries"
"frequency-conversion-water-supply-equipment","frequency-conversion-water-supply-equipment","Water supply series","Frequency conversion water supply equipment","","partial","modelOrSeries"
"horizontal-booster-pump-group","horizontal-booster-pump-group","Water supply series","Horizontal booster pump group","","partial","modelOrSeries"
"integrated-prefabricated-pump-station-frp","integrated-prefabricated-pump-station-frp","Sewage series","Integrated prefabricated pump station FRP","type","verified",""
"submersible-sewage-pump","submersible-sewage-pump","Sewage series","Submersible sewage pump","","partial","modelOrSeries"
"vertical-stainless-steel-multistage-pump-jockey-pump","vertical-stainless-steel-multistage-pump-jockey-pump","Water supply series","Vertical stainless steel multistage pump（Jockey pump）","","partial","modelOrSeries"
